image_index,true_label,predicted_label,attribution_method,epsilon,n_attempted,n_accepted,acceptance_rate,mean_S,max_S,mean_R,max_R,S_adv,R_adv,adv_flipped
0,7,7,input_x_gradient,0.1,100,100,1.0,0.0035829460248351097,0.004533909726887941,0.04769687664153668,0.05904680936036065,0.00738192442804575,0.085615175180628,False
0,7,7,input_x_gradient,0.25,100,100,1.0,0.008842462673783302,0.010929555632174015,0.047286999993111076,0.057850890158149045,0.01801888830959797,0.08396415265218213,False
0,7,7,input_x_gradient,0.5,100,100,1.0,0.01733223721385002,0.023241503164172173,0.046774077431642386,0.06388429991692883,0.035887710750103,0.0835392576498918,False
0,7,7,input_x_gradient,0.75,100,100,1.0,0.02652851864695549,0.03473801165819168,0.047774780960885825,0.05978890033777734,0.05372986942529678,0.08335950731723331,False
0,7,7,input_x_gradient,1.0,100,100,1.0,0.0345560759305954,0.04193757474422455,0.04648007289497693,0.055780029854810814,0.07183428108692169,0.08360835581809223,False
0,7,7,input_x_gradient,2.0,100,100,1.0,0.07004354149103165,0.08615296334028244,0.047523871459580154,0.058089389615596544,0.1440943032503128,0.08401891399449588,False
0,7,7,input_x_gradient,4.0,100,100,1.0,0.13515833020210266,0.16523608565330505,0.04641542091230404,0.05698189206294494,0.28212985396385193,0.08354630195166389,False
0,7,7,input_x_gradient,6.0,100,100,1.0,0.2016036957502365,0.24334396421909332,0.04646971634735376,0.05745157301747621,0.4113200902938843,0.08285424360605637,True
0,7,7,input_x_gradient,8.0,100,100,1.0,0.2707681357860565,0.3331875503063202,0.04683142515886586,0.05818560387931301,0.5168311595916748,0.07803705407130251,True
0,7,7,input_x_gradient,10.0,100,100,1.0,0.3336125314235687,0.4083023965358734,0.046958712714617636,0.056824928288910254,0.5854671597480774,0.07287033065005573,True
0,7,7,input_x_gradient,12.0,100,100,1.0,0.3809739649295807,0.4633546769618988,0.04548766206927231,0.054816623365850456,0.6959409713745117,0.07462114085175307,True
0,7,7,input_x_gradient,14.0,100,100,1.0,0.4273127317428589,0.5038915872573853,0.04509696076013467,0.053149320485462684,0.7674282789230347,0.07152244947586944,True
0,7,7,input_x_gradient,16.0,100,99,0.99,0.4585131108760834,0.5534290671348572,0.04385775521539913,0.052964687709736044,0.8225786089897156,0.06677116754609959,True
1,2,2,input_x_gradient,0.1,100,100,1.0,0.005868788342922926,0.007061792071908712,0.0758695920376536,0.09042903230374383,0.011711770668625832,0.13818655943409106,False
1,2,2,input_x_gradient,0.25,100,100,1.0,0.013890453614294529,0.01813366822898388,0.0728307501331981,0.09629072986268411,0.029418837279081345,0.13928199460061869,False
1,2,2,input_x_gradient,0.5,100,100,1.0,0.027589228004217148,0.03504715859889984,0.07352118717950684,0.09399123019329576,0.05874759331345558,0.13993631337170379,False
1,2,2,input_x_gradient,0.75,100,100,1.0,0.040749214589595795,0.05037596821784973,0.07282833304888851,0.08748310514371987,0.08864330500364304,0.14089350582886265,False
1,2,2,input_x_gradient,1.0,100,100,1.0,0.05530491843819618,0.0751366913318634,0.07361184914964623,0.09852681090653338,0.11921074241399765,0.142329418491782,False
1,2,2,input_x_gradient,2.0,100,100,1.0,0.11115768551826477,0.13295228779315948,0.0751664886134607,0.09271295870004367,0.24649491906166077,0.1470719704443378,False
1,2,2,input_x_gradient,4.0,100,100,1.0,0.22160038352012634,0.2754319906234741,0.0753231962405789,0.09297707354653842,0.50690096616745,0.15090280271811418,True
1,2,2,input_x_gradient,6.0,100,100,1.0,0.32790401577949524,0.4171309173107147,0.07520321673610363,0.09666835943875061,0.7375679016113281,0.1504085448987095,True
1,2,2,input_x_gradient,8.0,100,100,1.0,0.43002215027809143,0.5680447816848755,0.07463725300847307,0.09682377521304315,0.9133954048156738,0.1454432679996322,True
1,2,2,input_x_gradient,10.0,100,100,1.0,0.529248058795929,0.6439528465270996,0.07442682351418117,0.09115935276161732,0.9586213827133179,0.11982775140436086,True
1,2,2,input_x_gradient,12.0,100,100,1.0,0.618518590927124,0.7459546327590942,0.07356055680545646,0.08870708327072299,0.9318171739578247,0.09739504586457291,True
1,2,2,input_x_gradient,14.0,100,99,0.99,0.7072698473930359,0.8549805283546448,0.07400139000090554,0.08976312563679958,0.9828510284423828,0.09124218646803034,True
1,2,2,input_x_gradient,16.0,100,92,0.92,0.7622179985046387,0.934246301651001,0.07267896773106691,0.08938974260289141,1.030884027481079,0.08370395571100336,True
2,1,1,input_x_gradient,0.1,100,100,1.0,0.0028606352861970663,0.004071309231221676,0.03909833858053067,0.055886825512202754,0.007674164604395628,0.09176279589904042,False
2,1,1,input_x_gradient,0.25,100,100,1.0,0.007234623655676842,0.0095797935500741,0.0396346239431917,0.05295939843804679,0.0191914364695549,0.09156606299248427,False
2,1,1,input_x_gradient,0.5,100,100,1.0,0.014806126244366169,0.020749034360051155,0.04070691494815065,0.057070725136211704,0.038266513496637344,0.09126241876009279,False
2,1,1,input_x_gradient,0.75,100,100,1.0,0.021445775404572487,0.029689541086554527,0.03942072507173367,0.054290131548593815,0.057031068950891495,0.09054493579201955,True
2,1,1,input_x_gradient,1.0,100,100,1.0,0.029117397964000702,0.03898747265338898,0.039931020203636904,0.051763344558117846,0.07551988214254379,0.08995812873163431,True
2,1,1,input_x_gradient,2.0,100,92,0.92,0.058072131127119064,0.07830934226512909,0.040188362627259167,0.05441546811692417,0.1423773169517517,0.08510889450558173,True
