image_index,true_label,predicted_label,attribution_method,epsilon,n_attempted,n_accepted,acceptance_rate,mean_S,max_S,mean_R,max_R,S_adv,R_adv,adv_flipped
0,7,7,integrated_gradients,0.1,100,100,1.0,0.00229060766287148,0.0028416672721505165,0.030494145872321018,0.037181865384199285,0.00463126040995121,0.05371311711058099,False
0,7,7,integrated_gradients,0.25,100,100,1.0,0.005658313166350126,0.006890826392918825,0.030260263203598016,0.036237945943201975,0.011450018733739853,0.053354630114332974,False
0,7,7,integrated_gradients,0.5,100,100,1.0,0.011099514551460743,0.014706837944686413,0.02995230675117511,0.03899852965597212,0.02282737009227276,0.05313745323257587,False
0,7,7,integrated_gradients,0.75,100,100,1.0,0.0169895701110363,0.021299287676811218,0.03059714836497192,0.03793674624191287,0.03409856557846069,0.05290241084238692,False
0,7,7,integrated_gradients,1.0,100,100,1.0,0.02219368889927864,0.028997499495744705,0.02984875760959561,0.03856878699954516,0.04546066373586655,0.05291194248545171,False
0,7,7,integrated_gradients,2.0,100,100,1.0,0.044974736869335175,0.05634719878435135,0.030510173033807753,0.0385078865651373,0.09044884890317917,0.052739170706117874,False
0,7,7,integrated_gradients,4.0,100,100,1.0,0.08657819032669067,0.11039430648088455,0.02972575025699153,0.037221543491191625,0.17436198890209198,0.051633314124825976,False
0,7,7,integrated_gradients,6.0,100,100,1.0,0.12858609855175018,0.15191975235939026,0.029640525681116553,0.03641395424411907,0.2502117156982422,0.050401385526146564,True
0,7,7,integrated_gradients,8.0,100,100,1.0,0.17183466255664825,0.2103961855173111,0.029721604060522298,0.03596603128228991,0.3133411109447479,0.047311809212269434,True
0,7,7,integrated_gradients,10.0,100,100,1.0,0.20980878174304962,0.2609202563762665,0.029530811275732947,0.035452427786132834,0.36309540271759033,0.04519276890770616,True
0,7,7,integrated_gradients,12.0,100,100,1.0,0.2401803582906723,0.29521799087524414,0.028675028009575533,0.0345148384523044,0.4376511573791504,0.04692643485872286,True
0,7,7,integrated_gradients,14.0,100,100,1.0,0.26999974250793457,0.32323914766311646,0.02849614123636123,0.03349698329125501,0.49410998821258545,0.046049849397068326,True
0,7,7,integrated_gradients,16.0,100,99,0.99,0.29083913564682007,0.34172213077545166,0.027820241518593747,0.032668413511013045,0.54399174451828,0.04415743798825093,True
1,2,2,integrated_gradients,0.1,100,100,1.0,0.003516125725582242,0.004248935263603926,0.04545444908005987,0.054482003188450215,0.007909164763987064,0.09331981454013173,False
1,2,2,integrated_gradients,0.25,100,100,1.0,0.008406116627156734,0.010809089988470078,0.04407430317347288,0.05674248331144544,0.019732162356376648,0.09342092295175866,False
1,2,2,integrated_gradients,0.5,100,100,1.0,0.016722433269023895,0.020909031853079796,0.044559503712864226,0.05607489179118411,0.039088718593120575,0.09310902567803452,False
1,2,2,integrated_gradients,0.75,100,100,1.0,0.02468947321176529,0.031228259205818176,0.044128819386066914,0.05492037018185534,0.05821660906076431,0.09253199830153351,False
1,2,2,integrated_gradients,1.0,100,100,1.0,0.033789824694395065,0.047560885548591614,0.044971997055869385,0.062366631986710185,0.07741276919841766,0.09242551636483709,False
1,2,2,integrated_gradients,2.0,100,100,1.0,0.0676422044634819,0.08171188831329346,0.04573830836066864,0.05551918224661471,0.15291419625282288,0.09123673720101756,False
1,2,2,integrated_gradients,4.0,100,100,1.0,0.13355709612369537,0.16501858830451965,0.04539853645830462,0.05570502317688163,0.2938283085823059,0.0874717513723297,True
1,2,2,integrated_gradients,6.0,100,100,1.0,0.1957464963197708,0.2483951449394226,0.04489596181869358,0.05774561260130042,0.41128307580947876,0.08387090712438243,True
1,2,2,integrated_gradients,8.0,100,100,1.0,0.2558680772781372,0.3276787996292114,0.044408828970600826,0.05585316415243345,0.5025205612182617,0.08001817424879937,True
1,2,2,integrated_gradients,10.0,100,100,1.0,0.31179216504096985,0.37216898798942566,0.04384683187479863,0.05258934777291615,0.5291554927825928,0.06614447996552465,True
1,2,2,integrated_gradients,12.0,100,100,1.0,0.36425113677978516,0.4290630519390106,0.04332299875806969,0.05070266413958528,0.524530827999115,0.05482481486509763,True
1,2,2,integrated_gradients,14.0,100,99,0.99,0.41589421033859253,0.5013997554779053,0.043515456990825735,0.05273733544572673,0.5564663410186768,0.05165910619320792,True
1,2,2,integrated_gradients,16.0,100,92,0.92,0.4467381536960602,0.5416508913040161,0.042593124610697856,0.05182576978761202,0.5953641533851624,0.04834135887102519,True
2,1,1,integrated_gradients,0.1,100,100,1.0,0.0015290171140804887,0.0019632636103779078,0.020901389745597358,0.02694970207279577,0.0036293836310505867,0.04339786889437481,False
2,1,1,integrated_gradients,0.25,100,100,1.0,0.0038523918483406305,0.004773906897753477,0.02109967182870998,0.02639130333892328,0.009037279523909092,0.043118612172658284,False
2,1,1,integrated_gradients,0.5,100,100,1.0,0.007851889356970787,0.01042239461094141,0.021582105680641672,0.028667050609708703,0.017933644354343414,0.04277023463620443,False
2,1,1,integrated_gradients,0.75,100,100,1.0,0.011537629179656506,0.01503421738743782,0.021210911019431664,0.027070778716722553,0.02660944126546383,0.0422462737445372,True
2,1,1,integrated_gradients,1.0,100,100,1.0,0.01550094224512577,0.020310821011662483,0.02126277851390742,0.02696650884841482,0.03508532792329788,0.041793106085074215,True
2,1,1,integrated_gradients,2.0,100,92,0.92,0.030937884002923965,0.037555575370788574,0.0214083670355876,0.026170140327323982,0.0651460811495781,0.038942375560359885,True
2,1,1,integrated_gradients,4.0,100,16,0.16,0.0602274090051651,0.07780799269676208,0.02116532012155445,0.02706737251369472,0.12861540913581848,0.03902887857946294,True
2,1,1,integrated_gradients,6.0,100,4,0.04,0.08802472054958344,0.1002795621752739,0.021176001942075147,0.02286541137587028,0.19632655382156372,0.04039507349328369,True
2,1,1,integrated_gradients,8.0,100,2,0.02,0.1257489025592804,0.13188768923282623,0.0221022950757544,0.022724806131337736,0.2566082179546356,0.03981658851519655,True
2,1,1,integrated_gradients,10.0,100,1,0.01,0.14090506732463837,0.14090506732463837,0.02000034211426537,0.02000034211426537,0.3112564980983734,0.03971731149962452,True
2,1,1,integrated_gradients,12.0,100,0,0.0,,,,,0.36997294425964355,0.040580924395652994,True
2,1,1,integrated_gradients,14.0,100,1,0.01,0.23768220841884613,0.23768220841884613,0.024956843536463616,0.024956843536463616,0.4276725947856903,0.040713487641843286,True
2,1,1,integrated_gradients,16.0,100,0,0.0,,,,,0.48356005549430847,0.04043483129235773,True
3,0,0,integrated_gradients,0.1,100,100,1.0,0.0032150603365153074,0.0041227987967431545,0.04085456103015897,0.051739861122129194,0.005388801917433739,0.059799565107751584,False
3,0,0,integrated_gradients,0.25,100,100,1.0,0.007737037725746632,0.00945264007896185,0.039929532370127314,0.05179957922891388,0.013400869444012642,0.05963954243223235,False
