image_index,true_label,predicted_label,attribution_method,epsilon,n_attempted,n_accepted,acceptance_rate,mean_S,max_S,mean_R,max_R,S_adv,R_adv,adv_flipped
0,7,7,saliency,0.1,100,100,1.0,0.0030422229319810867,0.004840112291276455,0.04049824940540936,0.06345981456095846,0.009092765860259533,0.10545742503742264,False
0,7,7,saliency,0.25,100,100,1.0,0.007626125123351812,0.012853729538619518,0.04077104446820929,0.06820046471926702,0.021483926102519035,0.10011048516679308,False
0,7,7,saliency,0.5,100,100,1.0,0.014882968738675117,0.027619076892733574,0.040160455258633244,0.07591700843016264,0.04219962656497955,0.0982321079460586,False
0,7,7,saliency,0.75,100,100,1.0,0.02291847951710224,0.03510454297065735,0.04126859356663466,0.06207767941680017,0.062396060675382614,0.096804718345123,False
0,7,7,saliency,1.0,100,100,1.0,0.029485521838068962,0.0434475876390934,0.03966578628214106,0.05942697049623976,0.08324960619211197,0.09689472200332733,False
0,7,7,saliency,2.0,100,100,1.0,0.05877519026398659,0.08668138831853867,0.03987723598974026,0.060604419481690076,0.16720497608184814,0.0974943504912089,False
0,7,7,saliency,4.0,100,100,1.0,0.11600995063781738,0.18303853273391724,0.0398544570506896,0.06398143853866299,0.344638854265213,0.102056912369175,False
0,7,7,saliency,6.0,100,100,1.0,0.17534244060516357,0.2687014639377594,0.040437889480643474,0.06237298770925322,0.5401649475097656,0.1088081015358374,True
0,7,7,saliency,8.0,100,100,1.0,0.2372385412454605,0.36680111289024353,0.04101779949392441,0.06437536568351049,0.7363660335540771,0.11118492937254341,True
0,7,7,saliency,10.0,100,100,1.0,0.29925093054771423,0.4087654650211334,0.04212059046509751,0.059668537483620956,0.8330088257789612,0.10368067202103542,True
0,7,7,saliency,12.0,100,100,1.0,0.3501962423324585,0.6015925407409668,0.041808297620264175,0.06881214470271821,0.9577553868293762,0.10269376651437313,True
0,7,7,saliency,14.0,100,100,1.0,0.39374038577079773,0.58924400806427,0.041520864448488445,0.06049501305210007,1.0444256067276,0.09733792686569831,True
0,7,7,saliency,16.0,100,99,0.99,0.43343067169189453,0.564861536026001,0.041443005382964845,0.05360144447367464,1.123023271560669,0.09115915999279753,True
1,2,2,saliency,0.1,100,100,1.0,0.004312931094318628,0.0059668561443686485,0.055723605734845666,0.07809912245437838,0.011257652193307877,0.13282843968813754,False
1,2,2,saliency,0.25,100,100,1.0,0.010361072607338428,0.013744191266596317,0.05430844544681451,0.07501464452763337,0.02830597572028637,0.1340132079333246,False
1,2,2,saliency,0.5,100,100,1.0,0.020443301647901535,0.028637824580073357,0.054461091016432366,0.07897171286139315,0.0564335398375988,0.13442425587126133,False
1,2,2,saliency,0.75,100,100,1.0,0.031295739114284515,0.04445232078433037,0.05592227943895432,0.07837863536184211,0.08598244190216064,0.13666421484198993,False
1,2,2,saliency,1.0,100,100,1.0,0.04245232045650482,0.06908045709133148,0.05653808743709769,0.09012490627061984,0.11589544266462326,0.13837117885750722,False
1,2,2,saliency,2.0,100,100,1.0,0.08146515488624573,0.1059720367193222,0.055080078898315996,0.0704770285689945,0.24892012774944305,0.1485189788524975,False
1,2,2,saliency,4.0,100,100,1.0,0.17153474688529968,0.23259347677230835,0.05828728980820502,0.07702417313650106,0.5671743154525757,0.16884598677850662,True
1,2,2,saliency,6.0,100,100,1.0,0.2582501173019409,0.34963271021842957,0.05921689578686898,0.08296645060052082,0.9175689816474915,0.1871152677228575,True
1,2,2,saliency,8.0,100,100,1.0,0.3501751720905304,0.49635031819343567,0.06083557351177953,0.08761717309241093,1.1722891330718994,0.18666785671955569,True
1,2,2,saliency,10.0,100,100,1.0,0.4523351788520813,0.6009388566017151,0.06356986823729327,0.08557539737162859,1.2453851699829102,0.1556732483151991,True
1,2,2,saliency,12.0,100,100,1.0,0.535308837890625,0.747739315032959,0.0635958546756777,0.0883305121142782,1.2241493463516235,0.12795007976360787,True
1,2,2,saliency,14.0,100,99,0.99,0.6485152840614319,0.8593748211860657,0.06784410387929084,0.09095026966773384,1.2513083219528198,0.11616420386877623,True
1,2,2,saliency,16.0,100,92,0.92,0.7169632315635681,0.9617599248886108,0.06836523493119671,0.09101142478616492,1.283087968826294,0.10418197940110056,True
2,1,1,saliency,0.1,100,100,1.0,0.0034921709448099136,0.006332793738692999,0.04774295534497388,0.08513170482902856,0.008352150209248066,0.0998697180055752,False
2,1,1,saliency,0.25,100,100,1.0,0.008615355007350445,0.014424663037061691,0.04719305151051281,0.0795683515857562,0.02103503979742527,0.10036225178849922,False
2,1,1,saliency,0.5,100,100,1.0,0.01766984350979328,0.02982776053249836,0.04856650368722733,0.08064172307731138,0.042402829974889755,0.10112718594343485,False
2,1,1,saliency,0.75,100,100,1.0,0.02509835734963417,0.03913406282663345,0.046161833502284415,0.07406595283575645,0.06437276303768158,0.10220091966048721,True
2,1,1,saliency,1.0,100,100,1.0,0.03431547433137894,0.054288141429424286,0.04704787343886608,0.07462233310846955,0.08653274178504944,0.10307647872526914,True
2,1,1,saliency,2.0,100,92,0.92,0.06756813079118729,0.1309977024793625,0.04677682015494865,0.09347961398159707,0.1828688234090805,0.10931350395623397,True
2,1,1,saliency,4.0,100,16,0.16,0.13758771121501923,0.19570249319076538,0.048406304626674675,0.0680797961939158,0.5022285580635071,0.15240333598830433,True
2,1,1,saliency,6.0,100,4,0.04,0.2066778838634491,0.25529876351356506,0.04960433816712981,0.05821237273937812,0.7277145981788635,0.14973055912899058,True
2,1,1,saliency,8.0,100,2,0.02,0.2400885820388794,0.2504543960094452,0.04227961091161781,0.04497702078501047,0.8810761570930481,0.13671209393506809,True
2,1,1,saliency,10.0,100,1,0.01,0.2379436492919922,0.2379436492919922,0.033774189105578604,0.033774189105578604,0.9931303858757019,0.12672657161072676,True
2,1,1,saliency,12.0,100,0,0.0,,,,,1.058050274848938,0.11605350844334196,True
2,1,1,saliency,14.0,100,1,0.01,0.5385404229164124,0.5385404229164124,0.05654722396849015,0.05654722396849015,1.1098551750183105,0.10565576448728696,True
2,1,1,saliency,16.0,100,0,0.0,,,,,1.1620498895645142,0.09716950501590202,True
3,0,0,saliency,0.1,100,100,1.0,0.0034551292192190886,0.005931930150836706,0.04387678606098226,0.07510772500552008,0.011036238633096218,0.12246920202233164,False
3,0,0,saliency,0.25,100,100,1.0,0.008699369616806507,0.014935032464563847,0.04490428759117842,0.07708037979038604,0.02698967605829239,0.12011548483743412,False
3,0,0,saliency,0.5,100,100,1.0,0.017005495727062225,0.029191305860877037,0.045000384790593956,0.07756932762143798,0.050773635506629944,0.11390091810392146,False
3,0,0,saliency,0.75,100,100,1.0,0.02513362653553486,0.05718034878373146,0.04437422853767125,0.10040970055488212,0.07423774152994156,0.11158180151686427,False
3,0,0,saliency,1.0,100,100,1.0,0.03374798968434334,0.05796916037797928,0.044988934327948205,0.07755475642838407,0.09848224371671677,0.11155885890938662,False
3,0,0,saliency,2.0,100,100,1.0,0.066883385181427,0.11730215698480606,0.04510446968696444,0.0810683340937133,0.18263959884643555,0.10373644076185642,False
3,0,0,saliency,4.0,100,100,1.0,0.13401570916175842,0.2398959994316101,0.045809068446489375,0.08356336823379965,0.3330239951610565,0.09473937959443682,True
3,0,0,saliency,6.0,100,100,1.0,0.2038472294807434,0.4349071681499481,0.046933543371005075,0.09734672368295684,0.48226645588874817,0.09234512484705185,True
3,0,0,saliency,8.0,100,100,1.0,0.25349104404449463,0.4779318571090698,0.04402296766362237,0.0837111781396354,0.6279662251472473,0.09389154324873683,True
3,0,0,saliency,10.0,100,100,1.0,0.338490754365921,0.5909392237663269,0.047424729468027144,0.08170961197938005,0.8506267070770264,0.10478964865528174,True
3,0,0,saliency,12.0,100,95,0.95,0.4006298780441284,0.7054232358932495,0.047733262061162914,0.08750868384414634,1.0585345029830933,0.11409350536333714,True
3,0,0,saliency,14.0,100,81,0.81,0.4808523952960968,0.7382544279098511,0.05067920947335115,0.07973848979224096,1.2383878231048584,0.11503886472824368,True
3,0,0,saliency,16.0,100,65,0.65,0.5262323617935181,0.9020780920982361,0.05040053750028304,0.08521114300305993,1.3499407768249512,0.11156774172496421,True
4,4,4,saliency,0.1,100,100,1.0,0.003759862156584859,0.0050927214324474335,0.049583633446875774,0.06716398960697187,0.01429935172200203,0.1618638800240195,False
4,4,4,saliency,0.25,100,100,1.0,0.009831998497247696,0.013812215067446232,0.05216165104811487,0.07310670171140862,0.035897962749004364,0.16261172052134107,False
4,4,4,saliency,0.5,100,100,1.0,0.019471272826194763,0.02858767844736576,0.05200133660063736,0.0747623738599828,0.07158172130584717,0.16274490327051747,False
4,4,4,saliency,0.75,100,100,1.0,0.030060622841119766,0.04884887859225273,0.053658473377995265,0.08751504764397887,0.10833973437547684,0.16483883759198642,False
4,4,4,saliency,1.0,100,100,1.0,0.03903432562947273,0.07094080001115799,0.05261075799962128,0.09559628918964454,0.14502613246440887,0.16570141686274376,False
4,4,4,saliency,2.0,100,100,1.0,0.07671722024679184,0.1292610913515091,0.052016669832866465,0.08736078979550022,0.2972777783870697,0.1722993633050899,False
4,4,4,saliency,4.0,100,100,1.0,0.15328079462051392,0.2365758866071701,0.05225007854051864,0.07775219552979495,0.5693179368972778,0.1688796937566935,False
4,4,4,saliency,6.0,100,100,1.0,0.2353004813194275,0.3873920440673828,0.054074875806057146,0.08937559336256645,0.7835559248924255,0.16035682469191367,True
4,4,4,saliency,8.0,100,100,1.0,0.3126313090324402,0.5453869104385376,0.05443269503960261,0.09451228127785295,1.0073962211608887,0.1603604396838885,True
4,4,4,saliency,10.0,100,100,1.0,0.40892860293388367,0.6358636617660522,0.05740367042906274,0.08613117066013579,1.0528751611709595,0.13657133068644492,True
4,4,4,saliency,12.0,100,100,1.0,0.47229859232902527,0.7788864970207214,0.05623331057065618,0.09199693534087061,1.08211088180542,0.11929968197279484,True
4,4,4,saliency,14.0,100,100,1.0,0.5302901268005371,0.8048719763755798,0.05588768914927171,0.08415536792342425,1.2065287828445435,0.1134462781593135,True
4,4,4,saliency,16.0,100,98,0.98,0.6307640671730042,0.8762831687927246,0.06024858325807902,0.0815473572269697,1.31751549243927,0.10816529205992456,True
5,1,1,saliency,0.1,100,100,1.0,0.004037028178572655,0.00788764376193285,0.05491358504341011,0.11049577116553311,0.008433178067207336,0.1016816045808206,False
5,1,1,saliency,0.25,100,100,1.0,0.010436203330755234,0.020217925310134888,0.057133870913526986,0.11164464915938875,0.02118874527513981,0.10209494938413226,False
5,1,1,saliency,0.5,100,100,1.0,0.019014587625861168,0.039770741015672684,0.05229669382184741,0.11247088421767973,0.04278603941202164,0.10314579455622366,False
5,1,1,saliency,0.75,100,100,1.0,0.029931023716926575,0.05355536937713623,0.05479740847958669,0.09718158196169875,0.06691762804985046,0.10744229418931558,False
5,1,1,saliency,1.0,100,100,1.0,0.04054870083928108,0.07357428222894669,0.0560874357036252,0.1006929462732905,0.09379126876592636,0.11312065411373125,False
5,1,1,saliency,2.0,100,100,1.0,0.07931814342737198,0.13115929067134857,0.054787470771433984,0.09133861452264522,0.19280515611171722,0.11617866473831323,True
5,1,1,saliency,4.0,100,100,1.0,0.15132972598075867,0.24110230803489685,0.052588821261085036,0.0811396438833706,0.49212631583213806,0.1499430248034335,True
5,1,1,saliency,6.0,100,62,0.62,0.2290203869342804,0.33806347846984863,0.05319759042104016,0.08094996573972503,0.722305178642273,0.15052951221972297,True
5,1,1,saliency,8.0,100,8,0.08,0.30402979254722595,0.3529873490333557,0.054026341032129846,0.06448900825281388,0.8485240936279297,0.134792483609632,True
5,1,1,saliency,10.0,100,3,0.03,0.35489216446876526,0.39845630526542664,0.049589225126454715,0.05509075906841059,0.9098172187805176,0.11778157483260482,True
5,1,1,saliency,12.0,100,2,0.02,0.3934885263442993,0.4281579256057739,0.04768422938835056,0.05239928882437226,0.9227047562599182,0.10047181148444427,True
5,1,1,saliency,14.0,100,1,0.01,0.5470024943351746,0.5470024943351746,0.0587975735217891,0.0587975735217891,1.0069811344146729,0.09485532243647618,True
5,1,1,saliency,16.0,100,0,0.0,,,,,1.0974681377410889,0.09131823898871991,True
6,4,4,saliency,0.1,100,100,1.0,0.0039133536629378796,0.006069152615964413,0.05130292358469139,0.08067615560110594,0.012967864982783794,0.15282729651782026,False
6,4,4,saliency,0.25,100,100,1.0,0.009720997884869576,0.01621210388839245,0.051494128648129696,0.08164349820234806,0.032283373177051544,0.1529506154239982,False
6,4,4,saliency,0.5,100,100,1.0,0.019839590415358543,0.02793237753212452,0.052930970901629924,0.07517447893623,0.06658802181482315,0.15909082494174692,False
6,4,4,saliency,0.75,100,100,1.0,0.028880320489406586,0.040941257029771805,0.05148097912711608,0.07174445241203621,0.10134002566337585,0.16205593291534898,False
6,4,4,saliency,1.0,100,100,1.0,0.03870530426502228,0.055142246186733246,0.05162351338250828,0.07516026377486425,0.13375334441661835,0.16071623224751463,False
6,4,4,saliency,2.0,100,100,1.0,0.07794106006622314,0.11184181272983551,0.05232141839706181,0.07359739863286978,0.27249523997306824,0.16487773969658273,True
6,4,4,saliency,4.0,100,100,1.0,0.15842515230178833,0.2393803596496582,0.053986321632574524,0.07980031328530206,0.5341194868087769,0.1640895626003513,True
6,4,4,saliency,6.0,100,98,0.98,0.2360139936208725,0.32737529277801514,0.053914886135157665,0.07222397533443768,0.7578377723693848,0.1563458592917664,True
6,4,4,saliency,8.0,100,86,0.86,0.31868183612823486,0.4451002776622772,0.055132542748736996,0.0778795386384776,0.9313368201255798,0.1485011977234359,True
6,4,4,saliency,10.0,100,67,0.67,0.4098842442035675,0.6133434772491455,0.05767647223804084,0.0822892973734943,1.0156235694885254,0.13171274174404113,True
