epsilon,random_mean_S,random_min_S,random_tube_max_S,random_mean_R,random_min_R,random_tube_max_R,random_meanmax_S,random_max_S,random_meanmax_R,random_max_R,pgd_mean_S,pgd_min_S,pgd_max_S,pgd_mean_R,pgd_min_R,pgd_max_R,acceptance_rate,flip_rate
0.1,0.0046714532594196,0.0020439736545085,0.0077156298793852,0.06120656566217701,0.0277348878281914,0.1006447278383079,0.005929746453650246,0.0100595308467745,0.07735052101976395,0.1296891639818785,0.00966444923914964,0.0042254673317074,0.0182846430689096,0.11450730915078895,0.0521759817347649,0.2263132517921099,0.9996,0.01
0.25,0.011404344704933414,0.0050876126624643,0.018497172743082,0.06051391145536311,0.027871133521189,0.1006926496745368,0.014599889232777009,0.0260490905493497,0.07709205808882881,0.1355605431813265,0.024043403588235333,0.0105161098763346,0.0435264632105827,0.11440305263163432,0.052073750158459,0.2202571954484983,0.99848,0.018
0.5,0.022612760588526674,0.0101475799456238,0.0373748764395713,0.06047731197344017,0.0276378447838091,0.1006124875511212,0.029246923508122517,0.0490868240594863,0.07774254548415321,0.1360190475023173,0.04775859223678704,0.0210127010941505,0.0853281244635582,0.11419227139025183,0.0522624218725736,0.2156007801920615,0.99538,0.034
0.75,0.03390990061871702,0.0149979451671242,0.0569415763020515,0.06068214833069522,0.0274681995636515,0.1022814943930971,0.04379628564417357,0.0785932317376136,0.07787300927779034,0.1369792702778361,0.07159711483865971,0.0311737321317195,0.127838984131813,0.11433928479371255,0.0518758714237098,0.2149137261747204,0.99236,0.08
1.0,0.04520172633975739,0.0200729109346866,0.0754544287919998,0.060809714139334094,0.0272746869862583,0.1022997625812036,0.0584708530940115,0.1038705855607986,0.07800150901981769,0.1342826471652519,0.09549619622528549,0.041591040790081,0.1710574179887771,0.11453458188092693,0.0520356571335333,0.2161475934580319,0.9907,0.126
2.0,0.0903622268480743,0.0407523289322853,0.1532294154167175,0.061182291471298986,0.0280164060295979,0.1046286368228252,0.11627379947440893,0.2036456614732742,0.07795968698929862,0.1457382293419035,0.19105054333806035,0.082847274839878,0.3374800384044647,0.11512912131068992,0.0524357145519448,0.2161487358641856,0.98576,0.332
4.0,0.1802008155006278,0.0803697705268859,0.2951695024967193,0.061577441092397815,0.0275318608445642,0.1017724630979048,0.2309400735636592,0.402221143245697,0.07815524592661587,0.1363459724783307,0.3712657418847084,0.1605280190706253,0.6401200890541077,0.11326267211020165,0.0511562262663781,0.1973340178876624,0.96316,0.826
6.0,0.26745039087930506,0.1193467453122139,0.4405035674571991,0.061453588959861305,0.0275034716804042,0.1018372180671217,0.3397124029335476,0.5678877234458923,0.07736348109670281,0.1380733159674825,0.5267273507118225,0.2369439899921417,0.940554141998291,0.10901413339134056,0.0499906149556887,0.1921280754484167,0.9225,0.988
8.0,0.3514562021585797,0.1625130623579025,0.5896547436714172,0.061067413069953114,0.0287454030407325,0.1031043193833225,0.4409268447944165,0.7468105554580688,0.07593641833359083,0.1265590766433657,0.6536545184254646,0.3048336207866668,1.1933462619781494,0.1034180031883436,0.0506177055906903,0.1817747637327187,0.8719199999999999,1.0
10.0,0.4300603923444845,0.2030484676361084,0.7133041620254517,0.06044016320414009,0.0289974675258314,0.100667703516946,0.5319956754847449,0.8969211578369141,0.07416462461067147,0.1271263267841861,0.7567042252421379,0.3565799295902252,1.2980417013168335,0.09764336015490213,0.0463618699845576,0.1708821817903331,0.81176,1.0
12.0,0.5003785249615503,0.2473813891410827,0.838597297668457,0.059783150714673924,0.0301446416191463,0.0995943927226729,0.6080711730255568,1.0161303281784058,0.07223480405127473,0.1197114959671179,0.8431409356594086,0.4142153561115265,1.4382749795913696,0.09194865616381522,0.0451034994972361,0.1650694611663237,0.7464400000000001,1.0
14.0,0.5583741746391783,0.2823309004306793,0.9336230754852296,0.058825526575078446,0.0298252225007993,0.0983456553142945,0.6673726484272824,1.17634379863739,0.06979997939306846,0.1220342930499973,0.9176910098195076,0.4682858288288116,1.5634387731552124,0.08656684677910421,0.0437073576171331,0.1548974746387691,0.68068,1.0
16.0,0.6079162467667397,0.3453999161720276,1.0237663984298706,0.05808812856100025,0.0322477604024384,0.0976262628671759,0.7181807366457391,1.2464313507080078,0.06841254840710664,0.1167569528902475,0.983235021352768,0.5242977142333984,1.641086220741272,0.08150654199941541,0.042885189068971,0.1408083310188668,0.61836,1.0
