epsilon,random_mean_S,random_min_S,random_tube_max_S,random_mean_R,random_min_R,random_tube_max_R,random_meanmax_S,random_max_S,random_meanmax_R,random_max_R,pgd_mean_S,pgd_min_S,pgd_max_S,pgd_mean_R,pgd_min_R,pgd_max_R,acceptance_rate,flip_rate
0.1,0.0028522028201259176,0.0013326166663318,0.0049749119207262,0.03735046207195272,0.01807870756322,0.0670991526550456,0.0035387290120124314,0.0065394290722906,0.04609488940241882,0.0848498760625535,0.005780398435424963,0.0023931441828608,0.009902031160891,0.06845677675614759,0.0295504940333191,0.1221881124790864,0.9996,0.01
0.25,0.006970733909867657,0.003301701741293,0.0123096955940127,0.03697205915876836,0.0180833707134561,0.0675156458352334,0.008752987685613283,0.0168066248297691,0.04607999538458751,0.0874623698148702,0.014372390360571396,0.0059682503342628,0.0247313901782035,0.06835174516290378,0.0295536258601614,0.1219883650258695,0.99848,0.018
0.5,0.013838766072876704,0.0066479630768299,0.024437878280878,0.03699646003501567,0.0181065257202952,0.0669866081024479,0.017493373832665336,0.0329397544264793,0.04644132807342909,0.0912756958286871,0.028512711223214814,0.0119090722873806,0.0494909472763538,0.06813388091536693,0.0296200358633248,0.1220166677332883,0.99538,0.034
0.75,0.02075638872943814,0.0097771687433123,0.0368437357246875,0.03712963018699661,0.0179017934767667,0.0669595975295632,0.026383270718157242,0.0517298839986324,0.04679600598864057,0.0895797017486745,0.042562231171876144,0.0177984535694122,0.0742338821291923,0.0679292464898837,0.0296182146239789,0.1220811183482321,0.99236,0.08
1.0,0.027669936994090625,0.0130914775654673,0.0488763190805912,0.03721054365764577,0.0177892549194931,0.0666600180042465,0.03510871773213143,0.0669278651475906,0.046832139603104186,0.0902247747587675,0.05649123007059093,0.0238162484019994,0.0995683223009109,0.06771260116691943,0.0297971417043514,0.1226073381678632,0.9907,0.126
2.0,0.05521056655503223,0.0265213381499052,0.0972632244229316,0.037369042385988704,0.0182340903178692,0.0662978506309021,0.06994445658548318,0.127264529466629,0.046873681312559014,0.0856370860608216,0.11084466508030887,0.0473208129405975,0.1988351345062255,0.06675745383350201,0.0299502988422353,0.1217863289725511,0.98576,0.332
4.0,0.1094199471565439,0.0518689341843128,0.1896780580282211,0.03738007061156727,0.0182384078978576,0.0650010929249396,0.13794064768393272,0.264573872089386,0.04665854298435272,0.0896859413985337,0.20991475072503088,0.0921716764569282,0.3945318758487701,0.06400488048442658,0.0287148367764628,0.1206293028936031,0.96316,0.826
6.0,0.16160157008937767,0.0801532045006752,0.2877561748027801,0.03712430104666658,0.0184802619281672,0.0665181674154479,0.20145581629607945,0.3641822636127472,0.04582793244708578,0.0884958054567388,0.2955403044521808,0.1417072564363479,0.5724772214889526,0.061136887140560245,0.0296626046003231,0.1169405799107408,0.9225,0.988
8.0,0.2118062183230692,0.1044560074806213,0.371897429227829,0.036796184852193874,0.018472983268733,0.0647293199083048,0.2614944086204194,0.4823157787322998,0.04504023610853784,0.0814593615949571,0.3687644741237164,0.1773105263710022,0.7148900032043457,0.05832684956686172,0.0294424610999807,0.1083592257660887,0.8719199999999999,1.0
10.0,0.25910561288497885,0.1353588104248047,0.4552894234657287,0.03641148279935523,0.0193409310169394,0.0637141064989865,0.3157884638224329,0.5841445326805115,0.04405634610611213,0.0831051591377638,0.43443033820390703,0.2161285132169723,0.8030440807342529,0.056057288128856894,0.0285716596368897,0.1013406943147761,0.81176,1.0
12.0,0.3017747716223898,0.1609107851982116,0.5287821292877197,0.03605139682256898,0.0195277184765869,0.0631816957251878,0.36184448250069107,0.6391859650611877,0.04292902743644319,0.0751849789026696,0.49514139837026594,0.2506772875785827,0.8246374726295471,0.05399981656154264,0.0278405642783602,0.0946428639836259,0.7464400000000001,1.0
14.0,0.33757434035641665,0.1763189136981964,0.5942463278770447,0.03556162682816656,0.0184500911422204,0.0625048407858054,0.3994328571572931,0.7389318346977234,0.04173853132719714,0.0768971222429214,0.5524213878512383,0.2793449461460113,0.9241524934768676,0.052124671396353635,0.0269689402188124,0.0907792058649108,0.68068,1.0
16.0,0.36907976837234296,0.2146794199943542,0.643944263458252,0.03526467789333298,0.0210762111496628,0.061602966922729,0.43142357763457806,0.7810972332954407,0.04098305021450112,0.0741902298007439,0.6048107766509057,0.3331855833530426,1.0191514492034912,0.0501592988069314,0.0291435411773777,0.0827368577664778,0.61836,1.0
